ADM4_EN,ADM3_EN,ADM4_PCODE,pop,pop_est
Barangay 341,City of Manila,PH1303901341,1615.0,1532.9309513904575
Barangay 342,City of Manila,PH1303901342,1765.0,2638.4558095269826
Barangay 343,City of Manila,PH1303901343,3037.0,1918.8741002841953
Barangay 344,City of Manila,PH1303901344,644.0,1615.2078070928453
Barangay 345,City of Manila,PH1303901345,1332.0,1363.7752956617771
Barangay 346,City of Manila,PH1303901346,1501.0,1359.369197453166
Barangay 347,City of Manila,PH1303901347,1283.0,1368.1392232948908
Barangay 348,City of Manila,PH1303901348,955.0,1047.509097376109
Barangay 349,City of Manila,PH1303901349,548.0,644.3137976243612
Barangay 350,City of Manila,PH1303901350,8026.0,7180.923831200427
Barangay 351,City of Manila,PH1303901351,3415.0,2354.1211802291846
Barangay 352,City of Manila,PH1303901352,1401.0,1648.1321851201974
Barangay 353,City of Manila,PH1303901353,3010.0,2265.503450309839
Barangay 354,City of Manila,PH1303901354,2200.0,1921.7290881021884
Barangay 355,City of Manila,PH1303901355,1118.0,2093.7323245098373
Barangay 356,City of Manila,PH1303901356,443.0,959.4760831593069
Barangay 357,City of Manila,PH1303901357,553.0,952.5149083095167
Barangay 358,City of Manila,PH1303901358,1167.0,934.2899403745533
Barangay 359,City of Manila,PH1303901359,459.0,887.095285112635
Barangay 360,City of Manila,PH1303901360,796.0,1451.6435099614691
Barangay 361,City of Manila,PH1303901361,726.0,948.6831803989476
Barangay 362,City of Manila,PH1303901362,290.0,795.0243687752371
Barangay 363,City of Manila,PH1303901363,616.0,1099.9887508398124
Barangay 364,City of Manila,PH1303901364,2057.0,1035.1129391059008
Barangay 365,City of Manila,PH1303901365,1387.0,887.9647799188731
Barangay 366,City of Manila,PH1303901366,1256.0,1034.1515589582734
Barangay 367,City of Manila,PH1303901367,2063.0,1437.166365556507
Barangay 368,City of Manila,PH1303901368,658.0,1208.1771421000042
Barangay 369,City of Manila,PH1303901369,1785.0,1034.702847616126
Barangay 370,City of Manila,PH1303901370,628.0,925.9911588471313
Barangay 371,City of Manila,PH1303901371,858.0,1148.1888974140477
Barangay 372,City of Manila,PH1303901372,4332.0,25133.25995136857
Barangay 373,City of Manila,PH1303901373,3977.0,906.2553153430522
Barangay 374,City of Manila,PH1303901374,4221.0,1226.8355932895106
Barangay 375,City of Manila,PH1303901375,4466.0,801.9952791637069
Barangay 376,City of Manila,PH1303901376,962.0,2005.554724385869
Barangay 377,City of Manila,PH1303901377,663.0,700.7506482750035
Barangay 378,City of Manila,PH1303901378,683.0,1136.3587962118813
Barangay 379,City of Manila,PH1303901379,729.0,436.8230296457344
Barangay 380,City of Manila,PH1303901380,957.0,671.6380239554575
Barangay 381,City of Manila,PH1303901381,1473.0,1375.0023019402327
Barangay 382,City of Manila,PH1303901382,804.0,1530.5452535877562
Barangay 395,City of Manila,PH1303901395,1228.0,4490.058299043277
Barangay 396,City of Manila,PH1303901396,4237.0,2081.4698313808603
Barangay 397,City of Manila,PH1303901397,8835.0,1902.2233928509497
Barangay 398,City of Manila,PH1303901398,2413.0,931.651980328391
Barangay 399,City of Manila,PH1303901399,1647.0,724.3569839400706
Barangay 400,City of Manila,PH1303901400,1458.0,988.0922359356875
Barangay 401,City of Manila,PH1303901401,2112.0,1703.3471125286721
Barangay 402,City of Manila,PH1303901402,2778.0,1362.7570259362697
Barangay 403,City of Manila,PH1303901403,755.0,1054.6129733882635
Barangay 404,City of Manila,PH1303901404,1268.0,3260.537127625922
Barangay 405,City of Manila,PH1303901405,1153.0,750.0165974034574
Barangay 406,City of Manila,PH1303901406,651.0,442.46088016250155
Barangay 407,City of Manila,PH1303901407,2637.0,1338.0252965906825
Barangay 408,City of Manila,PH1303901408,1774.0,1136.5970280583458
Barangay 409,City of Manila,PH1303901409,1673.0,1357.859242140569
Barangay 410,City of Manila,PH1303901410,2565.0,2023.8972824408518
Barangay 411,City of Manila,PH1303901411,2182.0,1455.8343299169846
Barangay 412,City of Manila,PH1303901412,2015.0,1598.3326916017359
Barangay 413,City of Manila,PH1303901413,1907.0,794.254477749569
Barangay 414,City of Manila,PH1303901414,1603.0,752.4475639879424
Barangay 415,City of Manila,PH1303901415,795.0,1090.220875926035
Barangay 416,City of Manila,PH1303901416,1099.0,1316.2548095878806
Barangay 417,City of Manila,PH1303901417,1818.0,1107.00280129121
Barangay 418,City of Manila,PH1303901418,2977.0,1715.971121689971
Barangay 419,City of Manila,PH1303901419,1567.0,1013.1311975203901
Barangay 420,City of Manila,PH1303901420,2890.0,1762.4556885656082
Barangay 421,City of Manila,PH1303901421,1264.0,1369.803730280275
Barangay 422,City of Manila,PH1303901422,2650.0,1293.2486807959936
Barangay 423,City of Manila,PH1303901423,1369.0,1321.213609721549
Barangay 424,City of Manila,PH1303901424,2079.0,1530.5109614797436
Barangay 425,City of Manila,PH1303901425,1792.0,2248.9876373619963
Barangay 426,City of Manila,PH1303901426,1529.0,1444.707400436925
Barangay 427,City of Manila,PH1303901427,395.0,887.3454025623337
Barangay 428,City of Manila,PH1303901428,924.0,1317.98768394056
